extraction_date,extraction_timestamp,season,fantasy_team_id,fantasy_team_name,fantasy_team_abbrev,team_owner,player_name,player_id_espn,position,eligible_positions,pro_team,currently_rostered,injury_status,acquisition_type,season_avg_pts,season_total_pts,nine_cat_pts,nine_cat_blk,nine_cat_stl,nine_cat_ast,nine_cat_reb,nine_cat_to,nine_cat_3pm,nine_cat_fg%,nine_cat_ft%
2025-12-09,2025-12-09T09:20:43.733939,2026,10,KL2 LLC,Hu,,Nikola Vucevic,6478,C,"C,PF/C,F/C,UT,BE,IR",CHI,True,ACTIVE,"D,R,A,F,T",0,0,15.9,0.3,0.8,3.4,9.5,1.8,1.9,0.479,0.789
2025-12-09,2025-12-09T09:20:43.733939,2026,10,KL2 LLC,Hu,,Jamal Murray,3936299,PG,"PG,G,G/F,UT,BE,IR",DEN,True,ACTIVE,"D,R,A,F,T",0,0,25.0,0.3,1.1,6.8,4.5,2.4,3.3,0.506,0.898
2025-12-09,2025-12-09T09:20:43.733939,2026,10,KL2 LLC,Hu,,Jordan Poole,4277956,SG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",NOP,True,OUT,"D,R,A,F,T",0,0,17.3,0.3,0.3,3.4,1.7,2.1,2.9,0.354,0.969
2025-12-09,2025-12-09T09:20:43.733939,2026,10,KL2 LLC,Hu,,Jalen Suggs,4432165,PG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",ORL,True,ACTIVE,"D,R,A,F,T",0,0,14.6,0.6,1.9,4.7,3.8,2.7,1.9,0.455,0.891
2025-12-09,2025-12-09T09:20:43.733939,2026,10,KL2 LLC,Hu,,Shaedon Sharpe,4914336,SG,"SG,SF,G,F,SG/SF,G/F,F/C,UT,BE,IR",POR,True,ACTIVE,"D,R,A,F,T",0,0,21.1,0.2,1.4,2.2,4.8,2.9,1.6,0.438,0.8
2025-12-09,2025-12-09T09:20:43.733939,2026,10,KL2 LLC,Hu,,Derik Queen,4869780,C,"C,PF/C,F/C,UT,BE,IR,Rookie",NOP,True,ACTIVE,"A,D,D",0,0,12.9,0.8,1.0,3.9,6.4,2.3,0.1,0.496,0.796
2025-12-09,2025-12-09T09:20:43.733939,2026,10,KL2 LLC,Hu,,Max Christie,4432582,SG,"SG,G,SG/SF,G/F,UT,BE,IR",DAL,True,ACTIVE,"A,D,D",0,0,11.8,0.4,0.4,1.9,3.2,1.2,2.5,0.488,0.821
2025-12-09,2025-12-09T09:20:43.733939,2026,10,KL2 LLC,Hu,,Reed Sheppard,4711272,SG,"SG,G,SG/SF,G/F,UT,BE,IR",HOU,True,ACTIVE,"A,D,D",0,0,13.0,0.5,1.6,3.3,3.1,1.3,2.6,0.477,0.714
2025-12-09,2025-12-09T09:20:43.733939,2026,10,KL2 LLC,Hu,,Collin Gillespie,4278585,PG,"PG,G,G/F,UT,BE,IR",PHO,True,ACTIVE,"A,D,D",0,0,13.6,0.3,1.1,4.8,3.8,1.7,3.0,0.44,0.867
2025-12-09,2025-12-09T09:20:43.733939,2026,10,KL2 LLC,Hu,,Ace Bailey,4873138,SF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",UTA,True,ACTIVE,"A,D,D",0,0,10.3,0.3,0.8,1.7,3.3,1.4,1.5,0.447,0.773
2025-12-09,2025-12-09T09:20:43.733939,2026,10,KL2 LLC,Hu,,Isaiah Jackson,4432170,PF,"PF,C,F,G/F,PF/C,F/C,UT,BE,IR",IND,True,ACTIVE,"A,D,D",0,0,7.8,0.8,0.9,0.8,5.6,1.2,0.0,0.605,0.778
2025-12-09,2025-12-09T09:20:43.733939,2026,10,KL2 LLC,Hu,,Bobby Portis,3064482,PF,"PF,F,G/F,PF/C,F/C,UT,BE,IR",MIL,True,ACTIVE,"A,D,D",0,0,11.4,0.1,0.4,1.4,5.6,1.1,1.7,0.467,0.609
2025-12-09,2025-12-09T09:20:43.733939,2026,11,TEAM TOO ICEY BOY 12,ICEY,,Karl-Anthony Towns,3136195,C,"PF,C,F,G/F,PF/C,F/C,UT,BE,IR",NYK,True,DAY_TO_DAY,"D,R,A,F,T",0,0,22.5,0.7,0.8,3.4,11.9,2.6,1.9,0.467,0.883
2025-12-09,2025-12-09T09:20:43.733939,2026,11,TEAM TOO ICEY BOY 12,ICEY,,Tyrese Maxey,4431678,PG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",PHL,True,ACTIVE,"D,R,A,F,T",0,0,31.5,0.9,1.7,7.2,4.7,2.7,3.7,0.467,0.881
2025-12-09,2025-12-09T09:20:43.733939,2026,11,TEAM TOO ICEY BOY 12,ICEY,,Desmond Bane,4066320,SG,"SG,SF,G,F,SG/SF,G/F,F/C,UT,BE,IR",ORL,True,ACTIVE,"D,R,A,F,T",0,0,18.2,0.3,0.8,4.5,4.4,2.1,1.6,0.439,0.934
2025-12-09,2025-12-09T09:20:43.733939,2026,11,TEAM TOO ICEY BOY 12,ICEY,,Myles Turner,3133628,C,"C,PF/C,F/C,UT,BE,IR",MIL,True,ACTIVE,"D,R,A,F,T",0,0,12.6,1.6,0.9,1.7,5.7,1.1,2.3,0.438,0.727
2025-12-09,2025-12-09T09:20:43.733939,2026,11,TEAM TOO ICEY BOY 12,ICEY,,Tyler Herro,4395725,SG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",MIA,True,DAY_TO_DAY,"D,R,A,F,T",0,0,23.8,0.6,1.2,2.2,4.6,1.2,3.0,0.524,0.947
2025-12-09,2025-12-09T09:20:43.733939,2026,11,TEAM TOO ICEY BOY 12,ICEY,,Rudy Gobert,3032976,C,"C,PF/C,F/C,UT,BE,IR",MIN,True,ACTIVE,"D,R,A,F,T",0,0,11.1,1.5,0.4,1.9,10.1,1.5,0.0,0.736,0.538
2025-12-09,2025-12-09T09:20:43.733939,2026,11,TEAM TOO ICEY BOY 12,ICEY,,Jimmy Butler III,6430,SF,"SG,SF,PF,G,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",GSW,True,ACTIVE,"D,R,A,F,T",0,0,19.5,0.2,1.6,5.0,5.7,1.4,1.0,0.519,0.848
2025-12-09,2025-12-09T09:20:43.733939,2026,11,TEAM TOO ICEY BOY 12,ICEY,,Davion Mitchell,4278053,PG,"PG,G,G/F,UT,BE,IR",MIA,True,DAY_TO_DAY,"A,D,D",0,0,9.7,0.0,1.3,7.8,2.7,1.4,1.0,0.511,0.618
2025-12-09,2025-12-09T09:20:43.733939,2026,11,TEAM TOO ICEY BOY 12,ICEY,,Ajay Mitchell,4900671,PG,"PG,G,G/F,UT,BE,IR",OKC,True,ACTIVE,"A,D,D",0,0,14.4,0.2,1.5,3.6,3.3,1.6,1.1,0.464,0.877
2025-12-09,2025-12-09T09:20:43.733939,2026,11,TEAM TOO ICEY BOY 12,ICEY,,Jaylon Tyson,4683747,SG,"SG,G,SG/SF,G/F,UT,BE,IR",CLE,True,ACTIVE,"A,D,D",0,0,13.0,0.7,1.1,1.9,5.3,0.9,2.1,0.529,0.708
2025-12-09,2025-12-09T09:20:43.733939,2026,11,TEAM TOO ICEY BOY 12,ICEY,,Royce O'Neale,2583632,SF,"SF,F,SG/SF,G/F,F/C,UT,BE,IR",PHO,True,ACTIVE,"A,D,D",0,0,10.8,0.2,1.2,3.0,5.4,1.4,3.0,0.427,0.7
2025-12-09,2025-12-09T09:20:43.733939,2026,11,TEAM TOO ICEY BOY 12,ICEY,,Harrison Barnes,6578,PF,"PF,F,G/F,PF/C,F/C,UT,BE,IR",SAS,True,ACTIVE,"A,D,D",0,0,13.4,0.2,1.0,2.2,3.4,1.3,2.4,0.493,0.881
2025-12-09,2025-12-09T09:20:43.733939,2026,12,IN MAMBA WE TRUST,KOBE,,Devin Booker,3136193,PG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",PHO,True,OUT,"D,R,A,F,T",0,0,25.0,0.4,0.9,6.7,4.3,3.7,1.8,0.457,0.874
2025-12-09,2025-12-09T09:20:43.733939,2026,12,IN MAMBA WE TRUST,KOBE,,Kevin Durant,3202,PF,"PF,F,G/F,PF/C,F/C,UT,BE,IR",HOU,True,ACTIVE,"D,R,A,F,T",0,0,25.3,0.6,1.0,3.9,4.8,2.8,1.7,0.505,0.89
2025-12-09,2025-12-09T09:20:43.733939,2026,12,IN MAMBA WE TRUST,KOBE,,Ja Morant,4279888,PG,"PG,G,G/F,UT,BE,IR",MEM,True,OUT,"D,R,A,F,T",0,0,17.9,0.1,1.0,7.6,3.5,3.8,0.8,0.359,0.942
2025-12-09,2025-12-09T09:20:43.733939,2026,12,IN MAMBA WE TRUST,KOBE,,Zion Williamson,4395628,PF,"PF,F,G/F,PF/C,F/C,UT,BE,IR",NOP,True,OUT,"D,R,A,F,T",0,0,22.1,0.5,1.6,4.0,5.6,3.1,0.0,0.51,0.723
2025-12-09,2025-12-09T09:20:43.733939,2026,12,IN MAMBA WE TRUST,KOBE,,Jakob Poeltl,3134908,C,"C,PF/C,F/C,UT,BE,IR",TOR,True,ACTIVE,"D,R,A,F,T",0,0,10.2,0.6,0.8,2.2,7.9,1.4,0.0,0.69,0.596
2025-12-09,2025-12-09T09:20:43.733939,2026,12,IN MAMBA WE TRUST,KOBE,,Julius Randle,3064514,PF,"PF,F,G/F,PF/C,F/C,UT,BE,IR",MIN,True,ACTIVE,"D,R,A,F,T",0,0,22.9,0.2,1.0,6.0,7.1,2.7,1.8,0.499,0.83
2025-12-09,2025-12-09T09:20:43.733939,2026,12,IN MAMBA WE TRUST,KOBE,,Brandon Ingram,3913176,SF,"SF,F,SG/SF,G/F,F/C,UT,BE,IR",TOR,True,ACTIVE,"D,R,A,F,T",0,0,21.2,0.6,0.8,3.7,5.8,3.1,1.4,0.466,0.808
2025-12-09,2025-12-09T09:20:43.733939,2026,12,IN MAMBA WE TRUST,KOBE,,Mark Williams,4701232,C,"C,PF/C,F/C,UT,BE,IR",PHO,True,ACTIVE,"D,R,A,F,T",0,0,13.2,0.8,1.4,1.1,8.6,1.1,0.1,0.658,0.764
2025-12-09,2025-12-09T09:20:43.733939,2026,12,IN MAMBA WE TRUST,KOBE,,P.J. Washington,4278078,PF,"PF,F,G/F,PF/C,F/C,UT,BE,IR",DAL,True,ACTIVE,"D,R,A,F,T",0,0,15.9,1.2,1.1,2.2,7.8,2.5,1.6,0.44,0.684
2025-12-09,2025-12-09T09:20:43.733939,2026,12,IN MAMBA WE TRUST,KOBE,,Jaden Ivey,4433218,SG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",DET,True,ACTIVE,"D,R,A,F,T",0,0,7.6,0.1,0.2,1.1,2.7,1.1,1.1,0.431,0.875
2025-12-09,2025-12-09T09:20:43.733939,2026,12,IN MAMBA WE TRUST,KOBE,,Jusuf Nurkic,3102530,C,"C,PF/C,F/C,UT,BE,IR",UTA,True,ACTIVE,"A,D,D",0,0,8.2,0.4,1.5,3.7,9.2,2.5,0.3,0.451,0.519
2025-12-09,2025-12-09T09:20:43.733939,2026,12,IN MAMBA WE TRUST,KOBE,,Jaylen Wells,5112087,SG,"SG,G,SG/SF,G/F,UT,BE,IR",MEM,True,ACTIVE,"A,D,D",0,0,12.2,0.0,0.7,1.7,3.5,0.7,1.8,0.442,0.762
2025-12-09,2025-12-09T09:20:43.733939,2026,12,IN MAMBA WE TRUST,KOBE,,Jay Huff,4065731,C,"C,PF/C,F/C,UT,BE,IR",IND,True,ACTIVE,"A,D,D",0,0,7.7,2.5,0.3,1.3,3.7,0.7,1.3,0.43,0.781
2025-12-09,2025-12-09T09:20:43.733939,2026,14,Enter the Dragon,ZHAN,,Cade Cunningham,4432166,PG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",DET,True,ACTIVE,"D,R,A,F,T",0,0,27.5,0.8,1.5,9.3,6.4,3.9,1.9,0.452,0.84
2025-12-09,2025-12-09T09:20:43.733939,2026,14,Enter the Dragon,ZHAN,,Josh Giddey,4871145,SG,"PG,SG,SF,G,F,SG/SF,G/F,F/C,UT,BE,IR",CHI,True,ACTIVE,"D,R,A,F,T",0,0,20.3,0.5,1.0,8.9,9.5,3.7,1.8,0.474,0.74
2025-12-09,2025-12-09T09:20:43.733939,2026,14,Enter the Dragon,ZHAN,,Jalen Johnson,4701230,PF,"PF,F,G/F,PF/C,F/C,UT,BE,IR",ATL,True,ACTIVE,"D,R,A,F,T",0,0,23.4,0.4,1.6,7.9,10.5,3.3,1.6,0.534,0.805
2025-12-09,2025-12-09T09:20:43.733939,2026,14,Enter the Dragon,ZHAN,,Jalen Green,4437244,SG,"SG,G,SG/SF,G/F,UT,BE,IR",PHO,True,OUT,"D,R,A,F,T",0,0,15.5,0.0,1.0,2.0,2.0,1.0,3.0,0.478,0.6
2025-12-09,2025-12-09T09:20:43.733939,2026,14,Enter the Dragon,ZHAN,,Alex Sarr,5160992,C,"C,PF/C,F/C,UT,BE,IR",WAS,True,OUT,"D,R,A,F,T",0,0,19.1,2.0,0.8,3.2,8.6,2.1,1.1,0.515,0.639
2025-12-09,2025-12-09T09:20:43.733939,2026,14,Enter the Dragon,ZHAN,,Matas Buzelis,4711294,SF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",CHI,True,ACTIVE,"D,R,A,F,T",0,0,14.0,1.4,0.9,1.6,5.7,2.1,1.5,0.464,0.818
2025-12-09,2025-12-09T09:20:43.733939,2026,14,Enter the Dragon,ZHAN,,Stephon Castle,4845367,PG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",SAS,True,ACTIVE,"D,R,A,F,T",0,0,17.4,0.4,1.6,7.4,5.8,3.9,0.9,0.482,0.71
2025-12-09,2025-12-09T09:20:43.733939,2026,14,Enter the Dragon,ZHAN,,Bennedict Mathurin,4683634,SF,"SG,SF,G,F,SG/SF,G/F,F/C,UT,BE,IR",IND,True,ACTIVE,"D,R,A,F,T",0,0,21.5,0.2,0.8,2.3,5.6,2.9,2.8,0.46,0.833
2025-12-09,2025-12-09T09:20:43.733939,2026,14,Enter the Dragon,ZHAN,,De'Andre Hunter,4065732,SF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",CLE,True,ACTIVE,"D,R,A,F,T",0,0,16.0,0.1,0.8,2.5,4.3,1.7,2.0,0.444,0.831
2025-12-09,2025-12-09T09:20:43.733939,2026,14,Enter the Dragon,ZHAN,,Jerami Grant,2991070,PF,"PF,F,G/F,PF/C,F/C,UT,BE,IR",POR,True,ACTIVE,"A,D,D",0,0,19.5,0.6,0.8,2.7,3.9,2.0,2.3,0.438,0.857
2025-12-09,2025-12-09T09:20:43.733939,2026,14,Enter the Dragon,ZHAN,,Russell Westbrook,3468,PG,"PG,G,G/F,UT,BE,IR",SAC,True,ACTIVE,"A,D,D",0,0,13.9,0.2,1.4,7.3,7.0,3.3,1.9,0.437,0.617
